Heart Rate (bpm),Acceleration_X (m/s^2),Acceleration_Y (m/s^2),Acceleration_Z (m/s^2),Water Pressure (bar),Label
86,0.023706427,0.028018505,-0.012418955,1.454734601,0
130,0.003571126,0.002238656,-0.003270381,3.587443393,1
120,0.015323287,0.031817488,-0.010827374,1.179200533,0
120,-0.004081095,0.00401109,0.000310097,3.389522188,1
53,0.001603293,-0.001887642,-0.003623571,3.108997915,1
125,0.000158167,-0.006507442,0.000740845,2.889289807,1
131,0.002974535,-0.000989042,0.002354186,2.006509059,1
87,0.030345133,0.023309874,-0.015034507,1.063328199,0
115,0.025134134,0.032167084,-0.016444515,1.188333479,0
98,0.025783378,0.035377566,-0.01150085,0.873937331,0
120,-0.001528631,0.002474239,-0.000642746,3.126962078,1
90,0.033157362,0.031745596,-0.013210041,1.173431142,0
58,0.000271153,-0.003761072,-0.004222372,3.023139962,1
52,0.007951534,-0.002368756,-0.001706966,3.489209637,1
101,0.014554799,0.045829048,-0.0080543,0.895637546,0
146,0.000140076,-0.002923579,-0.000714361,2.487027393,1
147,-0.003811245,0.003334767,0.004661111,2.23312108,1
47,0.005409526,-0.001741231,-0.003516146,3.092000314,1
146,-0.005872612,0.005843364,-0.001866327,3.546815579,1
48,0.000770639,0.002053086,-0.012113196,2.41691142,1
85,0.031859991,0.034497027,-0.003322653,1.267799232,0
40,0.00323088,0.013333626,-0.006647715,3.373895229,1
89,0.01548669,0.025532794,-0.005568815,1.307639608,0
93,0.011955901,0.041810074,-0.003572845,1.386681388,0
145,-0.009173234,0.002144236,0.008132233,3.012049563,1
93,0.003546113,0.024529412,-0.023037133,1.158157034,0
104,0.014146106,0.026019577,-0.007015167,1.110773748,0
144,0.002750261,-0.000463992,0.003076885,3.057383609,1
53,-0.006058904,-0.007502748,0.002017036,3.105354096,1
136,0.00564997,0.010927269,-0.002299781,2.750607699,1
95,0.009004661,0.038498025,-0.016140861,1.253228227,0
141,-0.00330896,0.000705107,0.004922598,2.727131801,1
106,0.022570057,0.020917917,-0.003858337,1.257092956,0
80,0.01968576,0.009188662,-0.014174957,1.148856415,0
41,0.004947707,-0.00518442,-0.005096913,2.508500625,1
138,-0.000631627,0.00387969,-0.005132491,2.793407003,1
156,-0.00440479,0.008680167,-0.007463893,2.599412185,1
87,0.007487135,0.031095511,-0.008109496,1.174461673,0
130,0.006555301,-0.00103365,-0.002995341,3.499568679,1
89,0.015331174,0.047193215,-0.014753475,1.392510756,0
72,0.014173429,0.009844977,-0.008618652,1.307089658,0
97,0.020581658,0.032357064,-0.010049954,0.881782824,0
90,0.007108576,0.049435029,-0.011073967,1.30420223,0
101,0.007205823,0.017675517,-0.004792042,1.369801639,0
85,0.038097108,0.001709796,-0.009209817,1.332447393,0
101,0.010125598,0.037677346,-0.011200605,1.491721783,0
81,0.012922113,0.028276543,-0.001226538,1.251207145,0
105,0.008855536,0.016981266,-0.007399409,1.405579043,0
107,0.021226465,0.036771305,-0.018030758,1.209374068,0
138,0.004939054,-0.00630927,0.006047679,3.413067153,1
53,-0.000789155,-0.005481975,0.003785628,3.07044216,1
95,0.025363809,0.027891544,-0.002374226,0.905886928,0
145,0.005827532,0.000170011,0.001449565,3.107285061,1
100,0.020898743,0.031549893,-0.004887931,1.035395824,0
138,0.006937276,0.006558395,0.005042548,2.811898708,1
138,0.001915028,-0.002759677,-0.002610888,2.122926515,1
108,0.030987106,0.023967702,-0.020100178,0.940919435,0
104,0.026680763,0.024725625,0.001594179,0.996964106,0
46,0.005421959,-0.001580783,0.002477658,2.214432461,1
44,-0.002689165,-0.010679321,0.006278102,2.607717966,1
45,0.000484739,0.001219244,-0.005796585,2.982121588,1
131,-0.002502942,-0.008441844,-0.00190257,3.518496806,1
39,0.003906456,0.000219389,0.002798832,2.867804252,1
86,0.033623556,0.038857023,-0.009962835,0.984132962,0
96,0.039428654,0.06559161,0.001140887,1.053467566,0
89,0.024559816,0.027965035,-0.009842175,1.336046479,0
59,-0.005383839,-0.013045197,-0.006039051,2.280500124,1
50,-0.001662053,-0.006102639,0.010037555,3.781688763,1
49,-0.004597206,0.001683631,0.006902351,2.569107907,1
95,0.026795235,0.021519389,-0.016208144,1.124428441,0
96,0.016219273,0.039429891,-0.004898433,1.2698319,0
108,0.027364691,0.041814216,-0.013468944,1.039166647,0
86,0.020349861,0.048167786,-0.006112648,1.013372902,0
88,0.02437204,0.008301893,-0.006664563,1.265892532,0
43,0.004950926,0.001221515,-0.003016875,3.063921796,1
125,0.006058627,-0.002045533,-0.011022385,3.656216641,1
94,0.025795787,0.024981835,-0.012466248,1.132903334,0
108,0.029529269,0.058057889,-0.008473705,0.949376155,0
139,-0.003029687,0.007170364,-0.001035654,3.061650575,1
101,0.007251282,0.031640462,-0.009645795,0.971232658,0
103,0.029051761,0.026201762,-0.011420267,1.181588506,0
143,0.003209354,0.001019805,0.004326094,2.728341411,1
85,0.034239131,0.047911981,-0.016811106,1.179689571,0
58,0.001748139,-0.001031854,0.004384152,3.539171843,1
84,0.026794578,0.0446336,-0.007200965,0.950882945,0
89,0.024340799,0.03675662,-0.014966438,1.254250706,0
96,0.009096856,0.043837391,-0.009405228,1.332311251,0
130,0.002215263,0.006593108,-0.005470792,3.707622383,1
96,0.00682693,0.026490059,-0.013204694,1.261109249,0
82,0.018590495,0.032128432,-0.013784866,0.809075394,0
64,0.010733503,0.032930815,-0.003316377,1.00082195,0
92,0.012468864,0.043564024,-0.015853231,0.847653326,0
137,-0.003397231,0.001389568,-0.000321622,3.779801717,1
158,-0.004340188,-0.001307911,-0.000578951,3.848261738,1
102,0.020608025,0.024383754,-0.004483711,1.550602678,0
104,0.032175036,0.022477463,-0.011913601,1.035628215,0
101,0.022246251,0.03573452,-0.006503364,1.403296798,0
44,-0.008473904,-0.000513574,-0.00253817,3.562171718,1
47,0.006738265,-0.002500154,-0.000164936,2.938192632,1
133,0.004833659,0.002535625,-0.002808165,3.35999556,1
102,0.016004974,0.018640622,-0.002687413,1.321185609,0
44,0.00113801,-0.003981048,0.007217858,2.709936682,1
104,0.021200971,0.030011349,-0.004175756,1.310050322,0
46,-3.17613E-05,-0.001505916,0.007477133,3.428408906,1
135,-0.00766545,0.000777344,-0.00983224,1.623813507,1
46,-0.00736965,-0.000274401,0.001232485,3.394729986,1
103,0.036229923,0.050375701,-0.015362051,0.659222307,0
147,0.005018488,0.0004173,-0.003165207,2.879514778,1
94,0.019948153,0.022193588,-0.006373298,1.181446946,0
82,0.025235898,0.031351678,-0.010659661,1.401684658,0
145,0.00315683,0.000833574,0.001691006,2.810945737,1
86,0.010236478,0.028706433,-0.006004715,1.206169349,0
88,0.040639773,0.041929705,-0.008648094,1.219232544,0
87,0.033182086,0.050889275,-0.009596595,1.181778653,0
55,0.003355492,-0.00134506,-0.001848995,3.266091784,1
84,0.022560603,0.059258388,-0.010622331,1.031057873,0
128,0.001008118,-0.001575598,-0.00515415,3.979643875,1
76,0.020637262,0.0496091,-0.015165319,1.53456665,0
93,0.025305765,0.008671253,-0.005650901,1.420664649,0
100,0.017378598,0.025186546,-0.012403347,1.09672842,0
138,-0.005830819,-0.005696899,0.005675555,3.854528488,1
51,-0.003158459,0.009503632,0.001171941,2.733645983,1
76,0.011376132,0.036872186,-0.01260211,1.187619037,0
123,0.010944208,0.004610514,0.00838442,1.969004945,1
86,0.02546848,0.029626201,-0.004820785,1.158005604,0
56,-0.004482578,-0.001589206,-0.006571431,3.12534998,1
103,0.026876042,0.021398601,-0.020024382,1.197269846,0
145,-0.005090335,0.018875182,0.00275407,3.311252938,1
120,0.015287073,-0.006696024,-0.006161039,0.787091264,0
127,-0.001633318,-0.010679193,-0.003486531,3.239393189,1
89,0.025447882,0.029405135,-0.015655863,1.19663039,0
83,0.003650952,0.043260102,-0.006104816,0.675637644,0
56,0.001093106,-0.001602345,-0.012598498,3.985098553,1
47,0.002931869,-0.005770499,0.005461864,3.408048093,1
76,0.035585691,0.008899488,-0.008439065,1.211447629,0
79,0.030904142,0.00044834,-0.005483285,1.46330928,0
151,-0.002238243,-0.002453154,0.002097291,2.497600448,1
108,0.02111846,0.0233908,-0.018967664,1.235349896,0
92,0.030678822,0.041559143,-0.010507423,1.585969248,0
87,0.021486131,0.037076631,-0.011440357,0.86758232,0
131,-0.001344846,0.005128532,-0.005068876,2.878502136,1
110,0.016588556,0.056284206,-0.002344203,1.546788608,0
140,0.002515257,0.002102419,-0.008491146,2.939145224,1
50,0.005135133,0.002524795,4.67253E-05,2.809231151,1
129,-0.008390662,0.000437764,0.001687054,2.782172307,1
93,0.040549315,0.026827044,-0.010897228,1.089675532,0
90,0.024904133,0.029363872,-0.010149416,1.209752077,0
92,0.022386373,0.041878642,-0.006395672,1.402285552,0
47,0.001902818,0.001878183,-0.003933587,3.49576018,1
127,0.001786331,0.002204646,0.003395391,3.776030106,1
90,0.041822288,0.052642196,-0.01031261,1.169659056,0
138,0.005228095,0.004026771,-0.007526881,1.997795468,1
91,0.023923554,0.005783943,-0.017344026,1.209920141,0
83,0.013045184,0.018445873,-0.010907408,1.015900177,0
86,0.03834258,0.064349808,-0.012580041,1.088612719,0
92,0.042865521,0.007234433,-0.008905123,1.262549692,0
90,0.0108041,-0.000540995,-0.018148929,1.087266264,0
127,0.008936553,-0.002283308,0.014116521,3.491246745,1
81,0.032352571,0.028234563,-0.008084925,1.275035757,0
96,0.026513216,0.054573969,-0.012865709,1.23708826,0
149,-0.012974348,0.002019817,0.003301886,3.669259085,1
55,-0.001156879,0.004061002,0.000151865,3.354570611,1
100,0.032409997,0.040477491,-0.004951926,1.187753415,0
93,0.026011238,0.03617922,-0.013552257,1.061568437,0
102,0.022399345,0.063298069,-0.010848169,1.177229526,0
121,-0.00426495,0.003791372,0.003868898,2.968976857,1
47,-0.00201411,-1.21414E-05,0.001612747,2.936076342,1
53,0.004723954,0.001824816,0.00130893,2.898478137,1
94,0.01328727,0.045005808,-0.011648296,1.344960936,0
142,-0.001607367,0.00337594,-0.004341112,2.71592561,1
131,0.002927479,-0.004228251,2.20273E-05,3.132509011,1
53,-0.000355217,-0.004866229,-0.003234542,3.672102473,1
143,0.004588929,-0.00606002,-0.002646669,2.910113797,1
99,0.013253251,0.010880036,-0.009918989,1.090479785,0
94,0.034780425,0.045245391,-0.016392579,1.20280992,0
59,0.002345742,0.001675526,0.001037338,3.049981963,1
131,0.002293789,-0.000524865,-0.008131313,2.941147264,1
78,0.016807805,0.009766647,-0.00501762,1.066742102,0
47,-0.002586266,2.01685E-05,-0.004312883,3.011543507,1
57,-0.004043059,0.003213264,-0.001939524,2.938243943,1
86,0.027697979,0.018119311,-0.003182379,0.902651775,0
142,0.002493869,-0.005091871,-9.39657E-05,2.38912774,1
140,0.004470178,-0.003230742,0.006064096,2.189445499,1
134,0.000521288,-0.004608187,-0.007760739,3.281257103,1
97,0.017220481,0.009427642,-0.008562056,0.998212991,0
54,-0.005513197,0.002145242,-0.000551755,3.359679149,1
96,0.024430078,0.011669334,-0.010684018,1.486996637,0
100,0.022787605,0.022061915,-0.011188425,0.915166273,0
144,0.003086494,0.005742236,0.007671086,3.11507423,1
99,0.027448493,0.016288073,-0.01744471,1.387653894,0
137,-0.004896884,-0.002765972,0.007618285,3.470534787,1
89,0.029298321,0.010985143,-0.001288498,1.148630918,0
39,-0.000472883,-0.003189765,-0.01029392,2.9759714,1
107,0.002063827,0.050334503,-0.010601825,1.037830845,0
56,-0.003751426,-0.001227168,0.00327978,2.364069768,1
143,-0.000764783,2.75446E-07,0.007122968,3.371776874,1
81,0.023951302,0.056998246,-0.0105086,1.312428982,0
53,-0.011786187,-0.004222579,0.001614143,3.015387738,1
149,-0.003857948,-0.006046866,0.003570042,2.646872223,1
130,0.001741768,-0.005432773,0.001082819,2.606544293,1
63,0.008462484,0.008668833,-4.22911E-05,2.945916415,1
99,0.022514077,0.03870241,-0.01868312,1.081564984,0
122,-0.006740636,0.012672736,0.001253259,2.772638967,1
88,0.005828591,0.006200872,-0.010392252,0.933308868,0
129,0.001779293,-0.000547477,-0.002785625,2.505962731,1
62,-0.006101497,0.001284687,-0.007233954,3.083274959,1
168,0.004674176,0.00754752,-0.008008389,2.452881519,1
132,0.006661581,-0.001227949,0.00396814,3.047190142,1
93,0.01852007,0.038844417,-0.012724278,0.853471923,0
140,-0.00049671,-0.002023845,0.001273459,3.040866303,1
92,0.004005234,0.015786992,-0.012072165,1.167382986,0
131,-0.002482728,0.015046261,0.004158693,2.847657215,1
99,0.021461768,0.045122284,-0.012005963,1.396687533,0
53,-0.005075627,0.000283752,0.006615954,2.942937785,1
127,0.001268963,0.004545431,0.005616843,2.700974768,1
144,0.003064076,0.002121219,-0.006598162,2.701917576,1
88,0.021201091,0.060173681,-0.004319502,1.128631175,0
46,0.008045822,0.0041866,0.005820046,3.400290141,1
91,0.022351221,0.018253823,-0.013813932,0.914064053,0
96,0.029288674,0.030890814,-0.009547362,1.102264123,0
75,0.025941361,0.04821334,-0.012264037,0.995941906,0
46,0.002827075,-0.001034566,0.002494694,3.353294874,1
88,0.030945935,0.025260942,-0.011842677,0.941646617,0
129,0.000196693,-0.001359162,0.006053791,2.470501052,1
102,-0.004843239,0.04569128,-0.01045041,1.21085351,0
46,0.001099386,0.000445032,0.003197128,3.297979119,1
155,-0.008808112,-0.001318762,-0.000559821,3.174731281,1
42,-0.00121209,0.000840309,0.005996286,3.127028006,1
97,0.030458371,0.027911279,-0.008186818,1.233518407,0
135,-0.00074368,0.001593451,-0.007025798,3.638047012,1
51,0.000551178,-0.001377452,0.009197112,3.579914944,1
120,0.002168986,0.006129478,-0.002059355,3.176174142,1
89,0.025002412,0.015870224,-0.008670691,1.20358465,0
143,-0.00376267,0.011229404,-0.011080637,3.675814763,1
102,0.033216831,0.025946862,-0.005635386,1.575029381,0
81,0.0321291,0.043147036,-0.01141236,1.245514101,0
101,0.002877354,0.056506528,-0.005107312,1.224536809,0
64,0.011824876,-0.002012956,0.004245863,3.804886539,1
144,0.000210652,-0.003779399,0.005674922,3.430280583,1
43,-0.001509956,-0.009667336,-0.000453852,2.78205937,1
49,0.00551303,0.001519122,0.001194196,3.18737625,1
91,0.019406709,0.020203168,-0.018762074,1.318457286,0
111,0.023355318,0.01356376,-0.00075736,1.106619181,0
96,0.036924528,0.053343255,-0.003796481,0.849301862,0
88,0.035651,0.007911487,-0.000654699,1.354813166,0
131,-0.000143568,-0.00098605,-0.004707541,2.420528615,1
139,0.005151988,0.002322986,0.002184827,3.328677461,1
95,0.023528049,-0.001511981,-0.015865662,1.25121021,0
46,0.002730323,-0.003462155,0.001074027,2.054124256,1
119,0.032262459,0.025633096,-0.017073005,1.480237012,0
125,0.019822151,0.044481015,-0.00776278,1.090704713,0
91,0.031823985,0.076206955,-0.016568708,1.237284374,0
88,0.010160761,0.041378747,-0.008005552,1.123778327,0
90,0.014420354,0.029257786,-0.012626984,1.611765793,0
111,0.025382694,0.050293911,0.000326329,1.211291647,0
54,-0.000631221,0.001915998,0.002912804,3.040732621,1
145,0.005763948,0.005829575,-0.001477358,2.919850776,1
52,-0.011534646,-0.010074364,0.001434952,2.765662985,1
52,-0.00803365,0.001698945,0.002129647,3.094831318,1
42,0.000841502,0.010401891,0.00147078,2.721460803,1
137,0.000664311,0.002260317,-0.002252895,3.306806024,1
95,0.034428166,0.039976898,-0.020234673,1.090140152,0
136,0.002544326,-0.005404467,0.000871258,2.748691136,1
83,0.033279651,0.013845462,-0.00816835,1.467467033,0
105,0.007274963,0.052984748,-0.008935664,1.055851989,0
51,0.002273097,-0.003979321,0.002511989,2.547405256,1
98,0.021936362,0.023391268,-0.002165976,1.230092878,0
161,0.004284152,-0.001025453,0.00479595,3.009402644,1
51,-0.002201546,-0.002234288,0.001523187,3.625856321,1
142,-0.004960805,-0.003107543,0.005413338,3.623625173,1
95,0.042347167,0.001645302,-0.003084016,1.142177075,0
91,0.031014315,0.036971765,-0.016076511,1.303248311,0
86,0.024816933,0.047942805,-0.008229465,1.05420528,0
99,0.013231606,0.050176083,-0.010111433,1.065576559,0
136,-0.003041286,-0.007153677,-0.002290676,2.563479442,1
52,0.000706044,0.002018242,0.005904814,2.66567919,1
50,-0.002974835,-0.004470799,-0.007894562,2.961455156,1
43,-0.003314237,0.001704651,0.003572334,2.414321268,1
82,0.024881342,0.005902274,-0.013062762,1.073246458,0
94,0.030754899,0.032939156,-0.014849028,0.939513252,0
153,-0.001362546,0.002343112,-0.000254941,2.934384065,1
41,0.002195178,0.003414344,0.005205223,2.986550108,1
99,0.014327995,0.029725981,-0.007929659,1.553114378,0
87,-0.000839695,0.026424157,-0.005853591,1.328660942,0
47,-0.008174655,-0.003586767,0.001196602,2.97131817,1
90,0.031647254,0.012480838,-0.018888853,1.101917871,0
140,-0.003797813,0.001760373,-0.002046673,3.35026953,1
139,0.000877895,-0.005100831,-0.002704946,2.912819026,1
56,0.004292392,0.001483828,0.008909627,2.589380391,1
48,-0.001761073,-0.001017082,0.000867113,3.25509033,1
45,0.009498609,0.004239672,-0.002609502,2.735913241,1
140,0.003912783,0.00366825,-0.00410594,3.521910516,1
91,0.019125131,0.019644785,-0.001623203,1.647850574,0
85,0.025009711,0.030693957,-0.011272197,0.87579152,0
98,0.029146393,0.043653184,-0.01474524,1.155781392,0
104,0.008314454,0.034246014,-0.005134458,1.110082134,0
51,-0.001107667,-0.008777368,0.003587738,2.897401566,1
103,0.011432567,0.011638152,-0.01304396,1.301745419,0
56,0.002165677,-0.002131713,-0.002929255,2.946314186,1
102,0.032644299,0.046554505,-0.009712259,1.241414638,0
53,-0.007103999,-0.000533948,0.002117167,3.852156465,1
48,0.001997476,0.002456515,0.005024123,2.208610237,1
148,0.004580517,0.000870013,-1.13549E-05,2.761290047,1
99,0.016752943,0.025049855,-0.009130813,1.347094373,0
81,0.020331418,0.038995175,-0.006798079,1.240313721,0
97,0.018009789,0.030402834,-0.010354852,1.314515294,0
96,0.035265474,0.042921455,-0.010060629,1.493913391,0
49,0.002923438,-0.008300735,0.001881682,2.639935045,1
92,0.015186684,0.005163066,-0.010195161,1.006543622,0
142,-0.004293323,-0.003370622,-0.003621183,3.069410023,1
90,0.013209265,0.027281862,-0.011657646,1.539398064,0
143,-0.001286437,-0.005679655,0.006543404,3.174715167,1
92,0.015370951,0.041556237,0.001926415,1.196744901,0
104,0.002032389,0.023474173,-0.00777931,1.360696177,0
151,0.001091233,0.006556341,0.000232189,2.658838592,1
55,-0.001838618,8.27718E-05,0.002704228,3.977117258,1
166,0.005605234,-0.004844215,-0.00450369,3.215233018,1
156,-0.000251073,0.001443956,-0.003879666,2.953956055,1
52,-0.009122283,-0.004788425,-0.002559769,2.044388821,1
90,0.028341501,0.025771327,-0.012696634,1.273754907,0
102,0.014258959,0.027947486,-0.007214428,1.229647849,0
96,0.017922996,0.028188092,-0.011296347,1.381837943,0
128,-0.002825644,0.007108015,-0.005122858,3.673441453,1
57,0.004068632,0.004022499,0.003031334,3.040691442,1
138,-0.008439524,0.002282884,-0.014109029,3.172125813,1
91,0.025829772,0.030494363,-0.006087205,1.363631357,0
92,0.025692903,0.027843243,-0.006508783,1.319831671,0
53,-0.000389065,0.009163856,0.002778721,2.799468351,1
101,0.01830748,0.048744042,-0.008347281,1.201769077,0
92,0.018242422,0.046542161,-0.006511904,0.896724642,0
135,-0.005885481,-0.001595326,-0.003310334,3.382291564,1
92,0.007683914,0.021730595,-0.015505517,0.981280483,0
53,0.00519806,-0.007130282,0.00199899,2.505802236,1
60,0.034473852,0.017562225,-0.010396586,1.326410972,0
100,0.029876891,0.033213321,-0.012077647,1.097025775,0
109,0.021576301,0.037274268,-0.015522907,1.111236943,0
85,0.029641958,0.036674825,-0.005570371,0.91120046,0
107,0.031028982,0.023935785,-0.010620681,1.443418361,0
103,0.009289146,0.026602328,-0.007374844,1.352388676,0
82,0.004086371,0.033721991,-0.008783207,1.615696252,0
133,-0.007221688,0.010451525,0.001892111,3.094822517,1
123,-0.001959515,-0.009462798,0.001796221,2.923737619,1
50,-0.002374133,0.00041479,0.000364814,3.716926573,1
154,-0.004185704,0.003885732,-0.003377681,2.677126377,1
75,0.0345021,0.050150864,-0.014637763,1.097794301,0
149,0.005262894,-0.005571307,0.002983869,2.627476218,1
102,0.016354264,0.036600943,-0.003619108,1.082322819,0
141,0.011490225,0.005922234,-0.004990777,3.163595291,1
95,0.011789463,0.024470063,-0.009990629,1.280329345,0
43,0.002341501,0.002782393,-0.000395244,4.177051918,1
144,0.003548798,0.000430691,0.008511671,4.198946878,1
80,0.031990892,0.009510046,-0.010059471,1.175678325,0
110,0.010105489,0.034497927,-0.012518385,1.207555887,0
101,0.006001647,0.044580839,-0.022887418,1.004530991,0
112,0.000740573,0.047018477,-0.000501203,1.32862686,0
147,0.002221587,0.002928276,0.007414707,2.052736684,1
142,0.004786794,0.005743809,-0.001654105,2.626411553,1
85,0.025455968,0.030385029,-0.01529856,1.188527375,0
101,0.029317043,0.051695681,-0.015909337,1.385641294,0
53,-0.00220181,-0.000865132,-8.88043E-05,2.495256066,1
94,0.013066578,0.027647615,-0.010523616,1.077432579,0
43,0.005355459,0.000328786,0.002822417,2.234632217,1
80,0.035824569,0.043171106,-0.019427564,1.211031734,0
139,-0.000233656,0.001316118,-0.003609461,3.273364941,1
100,0.016964051,0.024884264,-0.008914434,1.115023131,0
150,-0.00546572,-0.001805814,0.000435994,4.179693077,1
53,-0.00350051,0.003844799,0.006070159,1.949937266,1
90,0.016580473,0.019924647,-0.003279328,1.129502103,0
94,0.030399567,0.01526785,-0.010090193,0.988194004,0
100,0.021081039,0.035644174,-0.009918848,0.996435684,0
45,-0.005553582,-0.007144536,-0.003473299,3.372870155,1
87,0.047464968,0.009934065,-0.007557554,1.384092096,0
49,-0.003779008,0.001369995,0.004219118,2.933018344,1
100,0.017700609,0.046473997,-0.011221574,1.040056652,0
86,0.018196102,0.018039952,-0.000346478,1.468917792,0
95,0.041475901,0.035405126,-0.01773973,0.733761707,0
137,-0.001016367,0.009867139,-0.004566232,4.039475693,1
119,0.002310698,-0.000959737,0.001302864,3.208017806,1
103,0.025079709,0.061629134,-0.008461742,1.00493155,0
130,0.004892606,0.007943542,0.008136037,3.764918952,1
98,0.017111401,0.034431987,-0.007135135,1.492940532,0
132,-0.002530857,0.001438387,-0.002667012,3.495764969,1
131,0.005558599,-0.001683916,0.003710046,2.780349039,1
135,-0.003391302,-0.002646659,0.006007541,3.259733901,1
47,0.000623955,0.005894446,0.002349265,2.327660646,1
41,0.006455332,0.001201109,0.004094689,2.663206756,1
40,0.004376802,0.003990257,-0.004361574,2.816498351,1
92,0.01844484,0.020822686,-0.016976241,1.60048243,0
55,-0.001373875,0.004455821,0.004086745,2.500563172,1
89,0.039756584,0.02624068,-0.00660555,1.427927042,0
51,0.001136032,0.004138302,0.001829551,2.216120834,1
109,0.019164676,0.049889578,-0.00997034,1.295430744,0
98,0.009630254,0.036943537,-0.010564676,1.098470589,0
101,0.026929505,0.018607412,-0.019502518,1.258675962,0
